 ,Label,Area,Mean,Min,Max,Angle,Length(micrometer,Length(mm),Random num,Random
1,,400,0.202,0,35,-90,419.048,0.419048,0.592437148,0.706759363
2,,408.163,0.007,0,3,-62.978,427.635,0.427635,1.003405533,0.727619493
3,,1266.213,0.86,0,76,-100.408,1328.525,1.328525,1.563124969,0.956046646
4,,841.723,0.654,0,76,-25.017,882.824,0.882824,0.63057641,1.403119269
5,,705.669,7.453,0,106,24.322,739.96,0.73996,1.652129794,0.668308503
6,,581.406,3.942,0,187,-77.005,609.905,0.609905,0.57598414,1.362772361
7,,931.519,0.088,0,21,-73.472,977.534,0.977534,0.713039678,1.065457752
8,,1097.506,2.866,0,127,7.031,1151.516,1.151516,1.603008646,1.013097957
9,,980.499,2.9,0,137,18.569,1028.797,1.028797,1.410171464,0.436052924
10,,816.327,0.201,0,35,-97.157,856.194,0.856194,0.74796763,1.23030298
11,,807.256,2.637,0,109,105.662,846.675,0.846675,1.526095789,1.260472826
12,,1010.431,0.199,0,21,-10.139,1060.369,1.060369,1.370287787,0.676451396
13,,1013.152,1.834,0,71,1.232,1063.103,1.063103,1.591432071,0.526810556
14,,839.002,6.424,0,179,113.459,880.387,0.880387,1.635875016,0.822551507
15,,1033.107,1.914,0,181,-10.125,1083.54,1.08354,1.420677601,1.098835137
16,,1085.714,0.779,0,65,-125.337,1139.455,1.139455,0.733179746,0.730486639
17,,1089.342,0.128,0,15.76,-90.573,1142.914,1.142914,0.489239125,0.768794142
18,,502.494,1.157,0,71,-12.529,526.831,0.526831,0.426083362,0.926074161
19,,1134.694,3.779,0,200,48.762,1190.505,1.190505,0.810092602,1.10797924
20,,411.791,1.884,0,96,-98.631,431.554,0.431554,1.09863475,0.695360164
21,,560.544,0.612,0,58,-72.269,587.927,0.587927,0.8814154,0.954432403
22,,933.333,3.162,0,176,125.175,978.714,0.978714,0.916660518,0.486377241
23,,538.776,0.609,0,46,52.125,564.658,0.564658,0.622052562,0.659662878
24,,655.782,0.654,0,27,-102.804,687.574,0.687574,1.041703378,1.411193102
25,,592.29,6.263,0,109,66.894,621.268,0.621268,1.01977925,1.036769919
26,,869.841,2.553,0,140,13.282,912.013,0.912013,1.088406133,1.102535589
27,,741.043,1.587,0,120,-61.928,777.143,0.777143,0.77441138,0.969573949
28,,1016.78,2.602,0,194,-76.361,1066.258,1.066258,1.689991536,0.460914621
29,,965.079,2.108,0,112,14.82,1012.739,1.012739,0.724338732,1.051103689
30,,1149.206,1.944,0,143,11.665,1205.857,1.205857,1.616527864,0.699260596
31,,606.803,3.003,0,120,-83.811,636.088,0.636088,0.784877872,0.352992075
32,,805.442,1.517,0,58,-116.219,845.036,0.845036,0.509854942,0.991343317
33,,1471.202,1.442,0,52,-11.532,1543.539,1.543539,0.700154793,1.237708467
34,,1034.921,1.978,0,94,-9.495,1085.347,1.085347,0.936959169,1.122132668
35,,1325.17,2.415,0,162,59.359,1390.304,1.390304,0.444320431,0.672161477
36,,523.356,1.233,0,62,-49.226,548.32,0.54832,0.491697165,0.976256103
37,,1082.993,0.378,0,31,-38.6,1135.756,1.135756,1.126267874,0.945380925
38,,1346.032,0.527,0,42,-83.028,1412.347,1.412347,1.590995968,0.635381156
39,,1016.78,0.004,0,2.52,58.58,1066.918,1.066918,0.431475191,1.078231611
40,,677.551,1.618,0,156,-59.721,710.218,0.710218,1.322792116,1.080903032
41,,511.565,3.978,0,136,-103.147,535.953,0.535953,1.018272709,0.995030677
42,,527.891,2.281,0,65,53.683,553.169,0.553169,1.257416188,0.479563512
43,,763.719,0.041,0,6,48.276,801.35,0.80135,0.798952132,0.796211724
44,,619.501,2.826,0,65,50.711,649.722,0.649722,0.843751888,0.623434711
45,,713.832,6.933,0,117,-57.685,748.268,0.748268,0.516555083,1.031302048
46,,883.447,1.063,0,34.799,-2.827,926.842,0.926842,0.990005252,0.299752171
47,,558.73,6.982,0,140,32.242,585.528,0.585528,1.106127807,1.23722799
48,,1426.757,0.645,0,92,72.072,1497.472,1.497472,0.658923158,1.025784427
49,,1255.329,0,0,0,-64.843,1317.335,1.317335,1.106405327,0.945403182
50,,885.261,1.924,0,65,32.778,928.844,0.928844,1.471344937,0.885268051
